listed_in,description
Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
International,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
International,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
International,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
International,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
International,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
International,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
International,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
International,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
International,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
International,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
International,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
International,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
International,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
International,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
International,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
Children & Family,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
Children & Family,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together."
Documentaries,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
International,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
Children & Family,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series."
Documentaries,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
International,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
International,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.
International,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000."
Children & Family,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
International,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
Documentaries,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
International,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
International,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
Children & Family,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
International,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent."
Children & Family,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
International,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
International,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
Children & Family,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
Children & Family,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!"
International,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
Children & Family,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.
International,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.
Documentaries,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
Children & Family,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!"
Documentaries,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
International,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
International,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.
International,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
Children & Family,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
Documentaries,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
Children & Family,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.
International,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."
Children & Family,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."
Children & Family,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil."
Documentaries,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
Documentaries,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
Documentaries,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
International,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
Children & Family,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."
International,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."
Children & Family,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
Children & Family,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
Children & Family,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
Children & Family,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
International,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
International,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
Documentaries,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
International,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
International,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
Children & Family,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure."
International,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
Documentaries,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
International,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
International,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."
Children & Family,"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers."
International,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world."
Children & Family,"Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood."
Children & Family,"On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur."
International,"On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur."
International,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
Children & Family,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
International,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family."
Children & Family,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends."
International,A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.
International,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
International,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
Children & Family,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning."
International,"Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory."
Children & Family,"Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory."
International,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
International,Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.
International,Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.
Children & Family,Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
Children & Family,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
Documentaries,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
Documentaries,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour."
Documentaries,"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad."
Documentaries,"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good."
International,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way."
International,A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.
International,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth."
Children & Family,"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood."
International,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
International,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
International,A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.
International,A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.
International,A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.
International,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
Children & Family,It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.
International,"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness."
International,"Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her."
International,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.
International,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge."
International,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck."
International,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father."
International,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.
International,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.
International,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.
International,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime."
International,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control."
International,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.
International,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.
International,"As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule."
Documentaries,Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.
International,Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.
International,"A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train."
International,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight."
International,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol."
Children & Family,"In a Georgia town where football rules and winning is paramount, a high school team tackles romance, rivalries and real life while vying for a title."
International,"Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother."
Children & Family,"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways."
Documentaries,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
Documentaries,"Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press."
International,"Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press."
International,"Amid project pitfalls and a pandemic, besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway."
International,"After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment."
International,"She's back from the dead and has a newfound thirst for blood. Meanwhile, her family's funeral parlor desperately needs more business. Hmm, what if..."
Documentaries,"In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash."
Children & Family,"Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death."
Documentaries,This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.
Children & Family,Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures!
Documentaries,Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.
International,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
International,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
International,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
International,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
International,"With satirical sketches, cheeky debates and blistering roasts, 16 of India’s wittiest entertainers compete in teams to be named the ultimate comedy champs."
International,A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.
International,A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.
International,"After a clash at a protest ends in bloodshed, a forensic doctor and a journalist embark on a search for the elusive truth."
Documentaries,"Refreshing and flavorful, naengmyeon is Korea's coolest summertime staple. A journey through its history begins, from how it's cooked to how it's loved."
International,"Refreshing and flavorful, naengmyeon is Korea's coolest summertime staple. A journey through its history begins, from how it's cooked to how it's loved."
International,"When he meets a debt-ridden woman who's caring for her ailing father, a debt collector with a heart of gold sets out to win her love."
Children & Family,"With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey!"
International,"In the Faroe Islands, a married woman meets a reporter filming a documentary on overseas Filipino workers, which soon sparks a complicated love story."
International,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.
International,"Years after they elope against their family’s wishes, a couple and their sons become caught in the throes of conflict in their city."
Children & Family,"Beep, beep – go, go! Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills."
Documentaries,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.
International,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.
International,"Years after the mysterious murder of her parents, a traumatized woman gains supernatural powers that aid in her quest for revenge against the killers."
International,"It's love at first sight for a young couple repelled by the concept of marriage, but their view shifts when they meet their older-couple neighbors."
International,"Tired of swiping through the dating scene with her besties in tow, a charming yet awkward woman with a rare genetic disorder sets her sights on love."
International,"Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India."
International,"In 1946 Berlin, an American cop searches for his missing brother while helping a novice German policewoman fight the violent crimes engulfing the city."
International,"Looking to shake things up, two best friends embark on a life-changing adventure abroad as exchange students. But can they stay out of trouble?"
Documentaries,"Christy Martin broke boundaries and noses as she rose in the boxing world, but her public persona belied personal demons, abuse and a threat on her life."
Children & Family,Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.
International,"After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai."
Documentaries,"From chefs and comedians to filmmakers and fashion designers, India’s most notable imaginative minds share their artistic journeys."
International,"From chefs and comedians to filmmakers and fashion designers, India’s most notable imaginative minds share their artistic journeys."
International,"When a rude and arrogant princess finds herself relying on a gatekeeper after a terrible accident, it may be enough to make her change her ways."
Children & Family,"In this animated fantasy, a girl named Bloom befriends a band of fairies, then follows them into the secretive and dangerous ""Magical Dimension."""
Children & Family,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.
International,"Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel."
International,"After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems."
International,"After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems."
International,"A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent."
International,"A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent."
International,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.
Children & Family,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.
Stand-Up Comedy,"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail."
Children & Family,"In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon."
International,"Chasing wild success, a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord."
Documentaries,"As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny."
International,"As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny."
International,"Decades after World War II, a still-shattered soldier unexpectedly falls in love and sees a bizarre coincidence bring his past back into focus."
Children & Family,"Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures."
International,"A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to restore her belief in love."
International,"Based on the book ""Las Fantásticas,"" this exciting telenovela follows the tumultuous lives of five women who get mixed up with the Mafia."
International,"Based on the book ""Las Fantásticas,"" this exciting telenovela follows the tumultuous lives of five women who get mixed up with the Mafia."
International,"Standing in for an unhinged Joseon king, a look-alike clown plays the part but increasingly becomes devoted to protecting the throne and the people."
Documentaries,"Key figures from an infamous 2004 incident between players and fans at an NBA game in Michigan discuss the fight, its fallout and its lasting legacy."
International,"Medium Yoh Asakura enters a battle tournament held every 500 years, competing with other shamans in a bid to become the all-powerful Shaman King."
International,"In pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities."
International,"Superstar Hideaki Takizawa reimagines his acclaimed kabuki production for the screen, featuring the dynamic talents of idol group Snow Man."
International,"In this sequel to ""New Money,"" Quam, a security guard turned multimillionaire, lives the good life with his fortune until he falls victim to fraud."
Children & Family,A music-loving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.
International,What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.
Documentaries,"A decade after the seminal Brazilian film ""City of God,"" this documentary reunites some of the cast and crew to find out what paths their lives took."
International,"A decade after the seminal Brazilian film ""City of God,"" this documentary reunites some of the cast and crew to find out what paths their lives took."
Documentaries,"""Queen of Sleaze"" or feminist pioneer? Powerhouse novelist Jackie Collins created a brash sex-positive persona while hiding her private struggles."
International,"When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events."
Documentaries,Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades.
International,"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity."
International,"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity."
International,"After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son."
International,"When her sister is accused of multiple murders, a Nigerian woman travels to Los Angeles to uncover the truth and fight for her sibling’s freedom."
International,"A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live."
Documentaries,"Ex-leaders and a survivor of the so-called ""conversion therapy"" movement speak out about its harm to the LGBTQ+ community and its devastating persistence."
Documentaries,"Max S. reveals how he built a drug empire from his childhood bedroom in this story that inspired the series ""How to Sell Drugs Online (Fast)."""
International,"Max S. reveals how he built a drug empire from his childhood bedroom in this story that inspired the series ""How to Sell Drugs Online (Fast)."""
International,"Before his wedding, a cold CEO is hit by a car and awakens a changed man. As he and the driver fall in love, more changes appear on the road ahead."
Documentaries,"Though claims of extraterrestrial encounters have long been dismissed, many believe the existence of UFOs is not just likely, but a certainty."
International,"When two single guys learn a woman they both slept with disappeared after giving birth, they decide to raise her baby girl together as a family."
International,"A young woman's romantic cruise ends in a twist when she gets pregnant after a one-night stand with a rich executive, turning their lives upside down."
Children & Family,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together."
Children & Family,"A father reluctantly agrees to let his children keep a St. Bernard puppy, but the playful pooch soon turns into a full-grown engine of destruction."
Children & Family,"After St. Bernard Beethoven sires a brood with Missy, he and the Newton kids must intervene when Missy's owner tries to sell the puppies."
Children & Family,"When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow."
International,High schooler Kaname activates a mysterious mobile app and unwittingly joins a game pitting players with supernatural abilities against each other.
Children & Family,Eric Taylor faces enormous pressure when he signs on as the new coach of a small-town Texas football team that's poised to win the state championship.
International,"To fulfill his dreams of becoming a legendary Hunter like his dad, a young boy must pass a rigorous examination and find his missing father."
Children & Family,A teen makes surprising discoveries when she talks to her dead mother's high school friends for an essay about someone she admires but has never met.
Children & Family,"When a spooky werewolf tale scares Boog out of joining the annual camping trip, his friends hatch a plan to cure him of his fear."
